SERMON_SLUG,CITATION_RAW,CITATION,BOOK_SLUG,CHAPTER,VERSE,API_URL
1571-lavater-von-thuewre-vn,Joel am 2,Joel 2,joel,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joel/chapters/2.json
1571-lavater-von-thuewre-vn,Rom. 10,Rom 10,romans,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/10.json
1571-lavater-von-thuewre-vn,Sam. am 7,1 Samuel 7,1samuel,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1samuel/chapters/7.json
1571-lavater-von-thuewre-vn,Joelam1,Joel 1,joel,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joel/chapters/1.json
1571-lavater-von-thuewre-vn,Luc. 15,Luke 15,luke,15,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/15.json
1571-lavater-von-thuewre-vn,Jacob am 4,Jas 4,james,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/james/chapters/4.json
1571-lavater-von-thuewre-vn,Ezechiel am 14,Ezek 14,ezekiel,14,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/14.json
1571-lavater-von-thuewre-vn,2. Sam. 21,2 Samuel 21,2samuel,21,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/2samuel/chapters/21.json
1571-lavater-von-thuewre-vn,Amos am 7,Amos 7,amos,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/7.json
1571-lavater-von-thuewre-vn,Luc. am 16,Luke 16,luke,16,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/16.json
1571-lavater-von-thuewre-vn,Luc. 12,Luke 12,luke,12,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/12.json
1571-lavater-von-thuewre-vn,Josue am 7,Joshua 7,joshua,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joshua/chapters/7.json
1571-lavater-von-thuewre-vn,Gen. 12,Genesis 12,genesis,12,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/genesis/chapters/12.json
1571-lavater-von-thuewre-vn,Genesis 26,Genesis 26,genesis,26,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/genesis/chapters/26.json
1571-lavater-von-thuewre-vn,Deut. am 28,Deuteronomy 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28.json
1571-lavater-von-thuewre-vn,in 37. Psal,Ps 37,psalms,37,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/37.json
1571-lavater-von-thuewre-vn,Psal. 34,Ps 34,psalms,34,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/34.json
1571-lavater-von-thuewre-vn,Num 20,Numbers 20,numbers,20,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/numbers/chapters/20.json
1571-lavater-von-thuewre-vn,Mattheiam 14,Matt 14,matthew,14,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/14.json
1571-lavater-von-thuewre-vn,Matth. am 24,Matt 24,matthew,24,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/24.json
1571-lavater-von-thuewre-vn,Luc. am 21,Luke 21,luke,21,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/21.json
1589-alber-eine-summa-etlicher,Amos 3,Amos 3,amos,3,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/3.json
1589-alber-eine-summa-etlicher,Deut. 28,Deuteronomy 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28.json
1589-alber-eine-summa-etlicher,Psal. 18,Ps 18,psalms,18,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/18.json
1589-alber-eine-summa-etlicher,Psal. 148,Ps 148,psalms,148,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/148.json
1589-alber-eine-summa-etlicher,der 78. Psalm,Ps 78,psalms,78,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/78.json
1589-alber-eine-summa-etlicher,Josue 10,Joshua 10,joshua,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joshua/chapters/10.json
1589-alber-eine-summa-etlicher,Johan. 5,John 5,john,5,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/5.json
1589-alber-eine-summa-etlicher,Matth 10,Matt 10,matthew,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/10.json
1589-alber-eine-summa-etlicher,Psalm. 104,Ps 104,psalms,104,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/104.json
1589-alber-eine-summa-etlicher,78. Psalm,Ps 78,psalms,78,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/78.json
1589-alber-eine-summa-etlicher,Ephes. 2,Eph 2,ephesians,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ephesians/chapters/2.json
1589-alber-eine-summa-etlicher,Joh 38,John 38,john,38,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/38.json
1589-alber-eine-summa-etlicher,Numer. 22,Numbers 22,numbers,22,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/numbers/chapters/22.json
1589-alber-eine-summa-etlicher,Reg. 22,1 Kings 22,1kings,22,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1kings/chapters/22.json
1589-alber-eine-summa-etlicher,Matt. 8,Matt 8,matthew,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/8.json
1589-alber-eine-summa-etlicher,Tit. 18,Titus 18,titus,18,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/titus/chapters/18.json
1589-alber-eine-summa-etlicher,Amos 4,Amos 4,amos,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/4.json
1589-alber-eine-summa-etlicher,Esa. 8,Isa 8,isaiah,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/isaiah/chapters/8.json
1589-alber-eine-summa-etlicher,4. Psal,Ps 4,psalms,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/4.json
1589-alber-eine-summa-etlicher,Ezech: 33,Ezek 33,ezekiel,33,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/33.json
1589-alber-eine-summa-etlicher,Mich. am 7,Mic 7,micah,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/micah/chapters/7.json
1589-alber-eine-summa-etlicher,Rom 8,Rom 8,romans,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/8.json
1599-fabricius-christliche-predigt-von,Röm. 11,Rom 11,romans,11,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/11.json
1599-fabricius-christliche-predigt-von,Rom. 11,Rom 11,romans,11,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/11.json
1599-fabricius-christliche-predigt-von,der 45. Psalm,Ps 45,psalms,45,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/45.json
1599-fabricius-christliche-predigt-von,Matth. 16,Matt 16,matthew,16,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/16.json
1599-fabricius-christliche-predigt-von,Act. 4,Acts 4,acts,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/acts/chapters/4.json
1599-fabricius-christliche-predigt-von,1. Cor.3,1 Cor 3,1corinthians,3,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1corinthians/chapters/3.json
1599-fabricius-christliche-predigt-von,Luc. 1,Luke 1,luke,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/1.json
1599-fabricius-christliche-predigt-von,Psalm 50,Ps 50,psalms,50,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/50.json
1599-fabricius-christliche-predigt-von,Matth. 28,Matt 28,matthew,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/28.json
1599-fabricius-christliche-predigt-von,1. Petri. 5,1 Pet 5,1peter,5,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1peter/chapters/5.json
1599-fabricius-christliche-predigt-von,Joh. 10,John 10,john,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/10.json
1599-fabricius-christliche-predigt-von,dem 121. Psalm,Ps 121,psalms,121,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/121.json
1599-fabricius-christliche-predigt-von,1. Samuel. 2,1 Samuel 2,1samuel,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1samuel/chapters/2.json
1599-fabricius-christliche-predigt-von,6. Capitel Matth,Matt 6,matthew,6,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/6.json
1599-fabricius-christliche-predigt-von,Psal.7,Ps 7,psalms,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/7.json
1599-fabricius-christliche-predigt-von,Matth. 10,Matt 10,matthew,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/10.json
1599-fabricius-christliche-predigt-von,9. Psal,Ps 9,psalms,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/9.json
1599-fabricius-christliche-predigt-von,Rom. 10,Rom 10,romans,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/10.json
