SLUG,BIBLE CITATION,BOOK_EN,CHAPTER,VERSE,URL
1571-lavater-von-thuewre-vn,Deut. 30,deuteronomy,30,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/30/verses/1.json
1571-lavater-von-thuewre-vn,Joel am 2,joel,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joel/chapters/2/verses/1.json
1571-lavater-von-thuewre-vn,Rom. 10,romans,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/romans/chapters/10/verses/1.json
1571-lavater-von-thuewre-vn,Sam. am 7,1samuel,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/1samuel/chapters/7/verses/1.json
1571-lavater-von-thuewre-vn,Joelam1,joel,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joel/chapters/1/verses/1.json
1571-lavater-von-thuewre-vn,Luc. 15,luke,15,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/15/verses/1.json
1571-lavater-von-thuewre-vn,Jacob am 4,james,4,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/james/chapters/4/verses/1.json
1571-lavater-von-thuewre-vn,Ezechiel am 14,ezekiel,14,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ezekiel/chapters/14/verses/1.json
1571-lavater-von-thuewre-vn,2. Sam. 21,2samuel,21,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/2samuel/chapters/21/verses/1.json
1571-lavater-von-thuewre-vn,Amos am 7,amos,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/7/verses/1.json
1571-lavater-von-thuewre-vn,Luc. am 16,luke,16,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/16/verses/1.json
1571-lavater-von-thuewre-vn,Luc. 12,luke,12,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/12/verses/1.json
1571-lavater-von-thuewre-vn,Josue am 7,joshua,7,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joshua/chapters/7/verses/1.json
1571-lavater-von-thuewre-vn,Gen. 12,genesis,12,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/genesis/chapters/12/verses/1.json
1571-lavater-von-thuewre-vn,Genesis 26,genesis,26,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/genesis/chapters/26/verses/1.json
1571-lavater-von-thuewre-vn,Deut. am 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28/verses/1.json
1571-lavater-von-thuewre-vn,in 37. Psal,psalms,37,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/37/verses/1.json
1571-lavater-von-thuewre-vn,Psal. 34,psalms,34,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/34/verses/1.json
1571-lavater-von-thuewre-vn,Num 20,numbers,20,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/numbers/chapters/20/verses/1.json
1571-lavater-von-thuewre-vn,Mattheiam 14,matthew,14,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/14/verses/1.json
1571-lavater-von-thuewre-vn,Matth. am 24,matthew,24,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/24/verses/1.json
1571-lavater-von-thuewre-vn,Luc. am 21,luke,21,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/luke/chapters/21/verses/1.json
1589-alber-eine-summa-etlicher,Amos 3,amos,3,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/3/verses/1.json
